Category ID,Item ID,Custom Label (SKU),Title,Format,VariationSet,SiteID,Reserved1-Do not edit or delete,C:Brand,C:Screen Size,C:Processor,C:Model,C:Operating System,C:Type,C:Processor Speed,C:SSD Capacity,C:Features,C:Hard Drive Capacity,C:Storage Type,C:GPU,C:Release Year,C:Maximum Resolution,C:Color,C:MPN,C:Series,C:RAM Size,C:Most Suitable For,C:Graphics Processing Type,C:Connectivity,C:Country/Region of Manufacture,C:Manufacturer Warranty,C:California Prop 65 Warning,C:Item Height,C:Item Length,C:Item Weight,C:Item Width,C:Custom Bundle,C:UPC,C:Form Factor,C:Operating System Edition,C:Bundle Description,C:Modified Item,C:Screen Refresh Rate,C:SKU,C:Location,C:Manufacturer Color
177,295529534689,3BC-0118G-R6,"MSI PE72 8RD-011 17.3"", GTX 1050 Ti 4 GB, i7-8750H 32GB RAM, 512GB SSD, Gaming",FIXED_PRICE,,0,-37940974,MSI,17.3 in,Intel Core i7 8th Gen.,MSI GS Series,Windows 10 Pro,Notebook/Laptop,2.20 GHz,512 GB,,,SSD (Solid State Drive),,,,,,,32 GB,,,,,,,,,,,,,,,,,,,,
177,295529534718,3JJ-0202E-R1,"Lenovo ThinkPad E570, intel i5-7200U@2.50GHz, 480GB SSD, 8GB RAM, WIN10PRO, READ",FIXED_PRICE,,0,1783730401,Lenovo,15.6 in,i5-7200U,Lenovo Thinkpad E570,,,2.50 GHz,,,480 GB,SSD (Solid State Drive),,,,,,,8 GB,,,,,,,,,,,,,,,,,,,,
177,295529535591,2JJ-1224L-R2,Lenovo ThinkPad X1 Carbon | intel i7-8650U | 512GB SSD | 16GB RAM | Touch | W10P,FIXED_PRICE,,0,-197584348,Lenovo,14 in,Intel Core i7 8th Gen.,Lenovo ThinkPad X1,,,,512 GB,,,SSD (Solid State Drive),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,295529535592,2HL-1125A-R8,"Dell Latitude 3450 i5-5200U @2.2GHz For Parts And Repair *NO HDD/RAM/OS, Read*",FIXED_PRICE,,0,-1962349019,Dell,14 in,Intel Core i5 5th Gen.,Dell Latitude 3450,Not Included,Notebook/Laptop,2.20 GHz,NONE,,NONE,NONE,,,,Black,,,,Parts,,,,,,,,,,No,,,,,,,,,
177,295529535601,2HL-1207F-R8,"Sony Vaio SVF14214CXW, i5-3337U @ 1.80GHz, 8GB RAM, 800GB SSD, Win10 Pro *Read*",FIXED_PRICE,,0,-1663912518,Sony,14 in,Intel Core i5 3rd Gen.,Vaio SVF14214CXW,Windows 10 Pro,Notebook/Laptop,1.80 GHz,800 GB,,,SSD (Solid State Drive),,,,,,Vaio,8 GB,,,,,,,,,,,,,,,,,,,,
177,295529535602,3HL-0104D-R8,"Lenovo Thinkpad T440P, i5-4300M @ 2.60GHz, 8GB RAM, 240GB SSD, Win 10 Pro",FIXED_PRICE,,0,-559858616,Lenovo,14 in,Intel Core i5 4th Gen.,T440p,Windows 10 Pro,Notebook/Laptop,2.60 GHz,240GB,Built-in Microphone||Built-in Webcam||Wi-Fi,240 GB,SSD (Solid State Drive),Intel HD Graphics,,1600 x 900,Black,,ThinkPad,8 GB,Casual Computing,Integrated/On-Board Graphics,,,,,,,,,,,,,,,,,,
177,295529535605,2JJ-1225T-R2,Lenovo ThinkPad X1 Carbon | intel i7-8650U | 512GB SSD | 16GB RAM | Touch | W10P,FIXED_PRICE,,0,1385083142,Lenovo,14 in,Intel Core i7 8th Gen.,Lenovo ThinkPad X1,,,,512 GB,,512 GB,SSD (Solid State Drive),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,295529535606,2JJ-1203C,Dell Latitude 7285 | intel i5-7Y54 @1.2GHz | 128GB SSD | 8GB RAM | TOUCH | W10P,FIXED_PRICE,,0,1425685741,Dell,12.3 in,Intel Core i5 7th Gen.,Dell Latitude 7285,,,1.20 GHz,128 GB,,,SSD (Solid State Drive),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,295529535607,2BC-1123C-R6,Lenovo ThinkPad T440 Laptop Core i5-4300U 1.9Ghz 8GB RAM 128GB SSD W10P,FIXED_PRICE,,0,-1554341179,Lenovo,14 in,Intel Core i5 4th Gen.,Lenovo ThinkPad T440S,,Notebook/Laptop,1.9 GHz,128 GB,,,SSD (Solid State Drive),,,,,,,,,,,,,,,,,,,,,,,,,,,
177,295529535610,2JJ-1204C,Dell Latitude 7285 | intel i5-7Y54 @1.2GHz | 128GB SSD | 8GB RAM | TOUCH | W10P,FIXED_PRICE,,0,593114739,Dell,12.3 in,Intel Core i5 7th Gen.,Dell Latitude 7285,Windows 10,Convertible 2-in-1 Laptop/Tablet,1.20 GHz,128 GB,Touchscreen||Bluetooth||Built-in Webcam||Wi-Fi||10/100 LAN Card||Multi-Touch Trackpad||Backlit Keyboard||Force Touch Trackpad||Built-in Microphone,,SSD (Solid State Drive),Intel HD Graphics 615,,2880 x 1920,Black,PY9V9,Latitude,8 GB,Casual Computing,Integrated/On-Board Graphics,USB-C||USB 3.1,,,,,,,,,,,,,,,,,
